tf,target,mode,weight,confidence
E2F1,THBS1,Activation,1.0,A
E2F1,TNFSF11,Activation,1.0,A
E2F1,TOP2A,Activation,1.0,A
E2F1,TP53,Activation,1.0,A
E2F1,TP53BP2,Activation,1.0,A
E2F1,TP73,Activation,1.0,A
E2F1,TYMS,Activation,1.0,A
E2F1,UHRF1,Activation,1.0,A
E2F1,ULK1,Activation,1.0,A
E2F1,VEGFA,Repression,-1.0,A
E2F1,WWOX,Repression,-1.0,A
E2F1,XRCC1,Activation,1.0,A
E2F1,ZNF350,Repression,-1.0,A
E2F2,MAP3K5,Activation,1.0,A
E2F3,AURKA,Activation,1.0,A
E2F3,CDC6,Activation,1.0,A
E2F3,CDKN1A,Activation,1.0,A
E2F3,MAP3K5,Activation,1.0,A
E2F3,PLK1,Activation,1.0,A
E2F4,AURKB,Activation,1.0,A
E2F4,BIRC5,Repression,-1.0,A
E2F4,BRCA1,Repression,-1.0,A
E2F4,CCNB1,Activation,1.0,A
E2F4,CCND1,Activation,1.0,A
E2F4,CDK2,Activation,1.0,A
E2F4,CUX1,Activation,1.0,A
E2F4,DIRAS3,Repression,-1.0,A
E2F4,HCFC1,Activation,1.0,A
E2F4,PCLAF,Repression,-1.0,A
E2F4,LIN54,Activation,1.0,A
E2F4,LTBP4,Activation,0.5,B
E2F4,MAP3K5,Activation,1.0,A
E2F4,MCM10,Repression,-1.0,A
E2F4,MYC,Repression,-1.0,A
