tf,target,mode,weight,confidence
USF1,PTPN6,Activation,1.0,A
USF2,PTPN6,Activation,1.0,A
USF2,SLC19A1,Activation,1.0,A
VDR,ASAP2,Activation,1.0,A
STAT3,IL6ST,Activation,1.0,A
STAT3,BIRC3,Activation,1.0,A
GLI1,SLIT2,Repression,-1.0,A
GLI1,CCND2,Activation,1.0,A
RBPJ,FCER2,Activation,1.0,A
ZNF382,HMGA2,Repression,-1.0,A
ZNF202,POMGNT1,Repression,-1.0,A
ZEB2,MEOX2,Repression,-1.0,A
ZBTB7A,PFKP,Repression,-1.0,A
YY1,TNFRSF10B,Repression,-1.0,A
YY1,EPAS1,Repression,-1.0,A
YY1,CREBBP,Repression,-1.0,A
YBX1,SUMO1,Repression,-1.0,A
YBX1,RBBP8,Repression,-1.0,A
YBX1,KPNA2,Repression,-1.0,A
WT1,UBE2I,Repression,-1.0,A
WT1,NR5A1,Repression,-1.0,A
WT1,IL2RB,Activation,1.0,A
WT1,CIAO1,Repression,-1.0,A
VDR,CALB1,Activation,1.0,A
VDR,BHLHE40,Activation,1.0,A
USF2,B2M,Activation,1.0,A
TWIST2,NR2F1,Activation,1.0,A
USF2,ATP5F1A,Activation,1.0,A
TWIST2,MMP2,Activation,1.0,A
TFDP1,RRM1,Activation,1.0,A
TFDP1,CDK1,Activation,1.0,A
TFDP1,CAV1,Activation,1.0,A
TFAP2C,SULT1E1,Activation,1.0,A
TFAP2C,MMP2,Activation,1.0,A
TFAP2C,CRABP2,Activation,1.0,A
TFAP2B,DRD1,Activation,1.0,A
TFAP2A,TIMP2,Activation,1.0,A
TFAP2A,SPRY2,Activation,1.0,A
TFAP2A,SNAP91,Activation,1.0,A
TFAP2A,PTGS2,Activation,1.0,A
TFAP2A,PRKCA,Activation,1.0,A
TFAP2A,POLD2,Activation,1.0,A
TFAP2A,L1CAM,Activation,1.0,A
TFAP2A,KRT5,Activation,1.0,A
TFAP2A,HTT,Activation,1.0,A
TFAP2A,HIP1,Activation,1.0,A
TFAP2A,GUSB,Activation,1.0,A
TFAP2A,GPX4,Activation,1.0,A
TFAP2A,GAST,Activation,1.0,A
TFAP2A,GALNT3,Activation,1.0,A
TFDP1,TYMS,Activation,1.0,A
SP2,DNMT3B,Activation,1.0,A
TP53,ANTXR1,Activation,1.0,A
TP53,ADGRB1,Activation,1.0,A
TWIST1,TIMP1,Repression,-1.0,A
TWIST1,SRPX,Repression,-1.0,A
TWIST1,NR2F1,Activation,1.0,A
TWIST1,MMP2,Activation,1.0,A
USF1,CTSD,Activation,1.0,A
TWIST1,FOS,Activation,1.0,A
TP73,CABLES1,Activation,1.0,A
TP63,TCF4,Activation,1.0,A
TP53,TP53I3,Activation,1.0,A
TP53,TCF7L2,Repression,-1.0,A
TP53,TBXAS1,Repression,-1.0,A
TP53,SSTR2,Repression,-1.0,A
TP53,RAD51B,Activation,1.0,A
TP53,PRG3,Activation,1.0,A
TP53,PTPA,Repression,-1.0,A
TP53,PLK3,Activation,1.0,A
TP53,GML,Activation,1.0,A
TP53,FGF2,Repression,-1.0,A
