pathway,gene
Inflammatory Response,ACVR1B
Inflammatory Response,HPN
Inflammatory Response,SEMA4D
Inflammatory Response,KLF6
Inflammatory Response,CD48
Inflammatory Response,CXCR6
Inflammatory Response,SLC1A2
Inflammatory Response,GP1BA
Inflammatory Response,TAPBP
Inflammatory Response,RGS16
Inflammatory Response,SLAMF1
Inflammatory Response,LCK
Inflammatory Response,HIF1A
Inflammatory Response,AHR
Inflammatory Response,NMI
Inflammatory Response,RHOG
Inflammatory Response,TPBG
Inflammatory Response,NPFFR2
Inflammatory Response,IFNAR1
Inflammatory Response,ICOSLG
Inflammatory Response,RASGRP1
Inflammatory Response,IFITM1
Inflammatory Response,KCNJ2
Inflammatory Response,LY6E
Inflammatory Response,IL18R1
Inflammatory Response,IL10
Inflammatory Response,KCNA3
Inflammatory Response,HAS2
Inflammatory Response,DCBLD2
Inflammatory Response,LAMP3
Inflammatory Response,VIP
Inflammatory Response,CD70
Inflammatory Response,RGS1
Inflammatory Response,SLC31A1
Inflammatory Response,ADRM1
Inflammatory Response,KCNMB2
Inflammatory Response,SERPINE1
Inflammatory Response,MXD1
Inflammatory Response,AXL
Inflammatory Response,MEFV
Inflammatory Response,PVR
Inflammatory Response,CCL24
Inflammatory Response,PDE4B
Inflammatory Response,LCP2
Inflammatory Response,PDPN
Inflammatory Response,IRF7
Inflammatory Response,MET
Inflammatory Response,ATP2A2
Inflammatory Response,SLC31A2
Inflammatory Response,FZD5
Inflammatory Response,ITGA5
Inflammatory Response,SGMS2
Inflammatory Response,MARCO
Inflammatory Response,CD14
Inflammatory Response,EIF2AK2
Inflammatory Response,ROS1
Inflammatory Response,ATP2C1
Inflammatory Response,NDP
Inflammatory Response,BTG2
Inflammatory Response,MSR1
Inflammatory Response,PTPRE
Inflammatory Response,RNF144B
Inflammatory Response,PCDH7
Inflammatory Response,SPHK1
Inflammatory Response,IL18RAP
Inflammatory Response,RTP4
Inflammatory Response,RAF1
Inflammatory Response,CHST2
Inflammatory Response,ITGB3
Inflammatory Response,KIF1B
Inflammatory Response,SELE
Inflammatory Response,NOD2
Inflammatory Response,C5AR1
Inflammatory Response,EMP3
Inflammatory Response,CLEC5A
Inflammatory Response,TACR3
Inflammatory Response,SLC4A4
Inflammatory Response,MEP1A
Inflammatory Response,SELENOS
Inflammatory Response,LTA
Inflammatory Response,PIK3R5
Inflammatory Response,STAB1
Inflammatory Response,IRF1
Inflammatory Response,ICAM4
Inflammatory Response,P2RX4
Inflammatory Response,ABI1
Inflammatory Response,CX3CL1
Inflammatory Response,SLC28A2
IL-2/STAT5 Signaling,SOCS2
IL-2/STAT5 Signaling,CISH
IL-2/STAT5 Signaling,PIM1
IL-2/STAT5 Signaling,IL2RA
IL-2/STAT5 Signaling,TNFRSF4
IL-2/STAT5 Signaling,SOCS1
IL-2/STAT5 Signaling,TNFRSF9
IL-2/STAT5 Signaling,XBP1
IL-2/STAT5 Signaling,RRAGD
IL-2/STAT5 Signaling,HK2
IL-2/STAT5 Signaling,PHLDA1
IL-2/STAT5 Signaling,IL2RB
IL-2/STAT5 Signaling,CTLA4
IL-2/STAT5 Signaling,NFIL3
IL-2/STAT5 Signaling,CD83
IL-2/STAT5 Signaling,IKZF2
IL-2/STAT5 Signaling,IL10
IL-2/STAT5 Signaling,TNFRSF18
IL-2/STAT5 Signaling,DHRS3
IL-2/STAT5 Signaling,ECM1
IL-2/STAT5 Signaling,ADAM19
IL-2/STAT5 Signaling,SLC2A3
IL-2/STAT5 Signaling,HIPK2
IL-2/STAT5 Signaling,BATF3
IL-2/STAT5 Signaling,BHLHE40
IL-2/STAT5 Signaling,PTGER2
IL-2/STAT5 Signaling,DENND5A
IL-2/STAT5 Signaling,ITIH5
IL-2/STAT5 Signaling,PHTF2
IL-2/STAT5 Signaling,GADD45B
IL-2/STAT5 Signaling,NRP1
IL-2/STAT5 Signaling,NCOA3
IL-2/STAT5 Signaling,CD79B
IL-2/STAT5 Signaling,AHR
IL-2/STAT5 Signaling,TNFRSF1B
IL-2/STAT5 Signaling,NDRG1
IL-2/STAT5 Signaling,BCL2L1
IL-2/STAT5 Signaling,GABARAPL1
IL-2/STAT5 Signaling,LIF
IL-2/STAT5 Signaling,TIAM1
IL-2/STAT5 Signaling,BMPR2
IL-2/STAT5 Signaling,MAP3K8
IL-2/STAT5 Signaling,RHOB
IL-2/STAT5 Signaling,MYC
IL-2/STAT5 Signaling,S100A1
IL-2/STAT5 Signaling,ETFBKMT
IL-2/STAT5 Signaling,CAPG
IL-2/STAT5 Signaling,ST3GAL4
IL-2/STAT5 Signaling,PENK
IL-2/STAT5 Signaling,IRF4
IL-2/STAT5 Signaling,CST7
IL-2/STAT5 Signaling,WLS
IL-2/STAT5 Signaling,TLR7
IL-2/STAT5 Signaling,IKZF4
IL-2/STAT5 Signaling,GBP4
IL-2/STAT5 Signaling,RGS16
IL-2/STAT5 Signaling,SPP1
IL-2/STAT5 Signaling,IL13
IL-2/STAT5 Signaling,SLC29A2
IL-2/STAT5 Signaling,NFKBIZ
IL-2/STAT5 Signaling,IL4R
IL-2/STAT5 Signaling,MXD1
IL-2/STAT5 Signaling,CSF2
IL-2/STAT5 Signaling,FAH
IL-2/STAT5 Signaling,CTSZ
IL-2/STAT5 Signaling,ITGAE
IL-2/STAT5 Signaling,MUC1
IL-2/STAT5 Signaling,MAPKAPK2
IL-2/STAT5 Signaling,TNFRSF21
IL-2/STAT5 Signaling,NT5E
IL-2/STAT5 Signaling,FLT3LG
IL-2/STAT5 Signaling,CCND2
IL-2/STAT5 Signaling,TRAF1
IL-2/STAT5 Signaling,LCLAT1
IL-2/STAT5 Signaling,IL3RA
IL-2/STAT5 Signaling,CYFIP1
IL-2/STAT5 Signaling,BCL2
IL-2/STAT5 Signaling,FGL2
IL-2/STAT5 Signaling,PRNP
IL-2/STAT5 Signaling,EEF1AKMT1
IL-2/STAT5 Signaling,PUS1
IL-2/STAT5 Signaling,ITGAV
IL-2/STAT5 Signaling,NCS1
IL-2/STAT5 Signaling,DCPS
IL-2/STAT5 Signaling,AMACR
IL-2/STAT5 Signaling,FAM126B
IL-2/STAT5 Signaling,PTH1R
IL-2/STAT5 Signaling,ODC1
IL-2/STAT5 Signaling,IGF1R
IL-2/STAT5 Signaling,PTCH1
IL-2/STAT5 Signaling,ENO3
IL-2/STAT5 Signaling,CD81
IL-2/STAT5 Signaling,MAFF
IL-2/STAT5 Signaling,EMP1
IL-2/STAT5 Signaling,CDKN1C
IL-2/STAT5 Signaling,CAPN3
IL-2/STAT5 Signaling,IL1R2
IL-2/STAT5 Signaling,SYT11
IL-2/STAT5 Signaling,TTC39B
IL-2/STAT5 Signaling,ANXA4
IL-2/STAT5 Signaling,BATF
IL-2/STAT5 Signaling,P4HA1
IL-2/STAT5 Signaling,GPR65
