source_group,dataset,condition,edge_set,metric,top_level,repeats,mean_curated_positive_fraction,sd_curated_positive_fraction,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,repeats_above_0_5,mean_delta_vs_0_5,mean_actual_top_n,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,codetection_odds_ratio,top_500,10,0.5422,0.0084564242508941,0.0052413460527277,0.524,0.556,10,0.0422,500.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,codetection_odds_ratio,top_5pct,10,0.7037735849056603,0.0479392176104641,0.0297130349115222,0.6037735849056604,0.7547169811320755,10,0.2037735849056604,53.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,coexpression_probability,top_100,10,0.522,0.0042163702135578,0.0026133333333333,0.52,0.53,10,0.022,100.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,coexpression_probability,top_500,10,0.5035999999999999,0.0035023801430836,0.0021707977028425,0.5,0.51,7,0.0036,500.0,10,1056.0,528.0,528.0,False
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,coexpression_probability,top_5pct,10,0.539622641509434,0.0097433543300815,0.0060389935796918,0.5283018867924528,0.5471698113207547,10,0.0396226415094339,53.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,mutual_information,top_100,10,0.593,0.0094868329805051,0.00588,0.58,0.61,10,0.0929999999999999,100.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,mutual_information,top_500,10,0.5354,0.007834397090892,0.0048558096246775,0.522,0.544,10,0.0354,500.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,mutual_information,top_5pct,10,0.6679245283018868,0.0284065151965691,0.0176065405282314,0.6226415094339622,0.7169811320754716,10,0.1679245283018867,53.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,pearson,top_100,10,0.614,0.0177638834592989,0.0110101690369504,0.58,0.64,10,0.1139999999999999,100.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,pearson,top_500,10,0.5318,0.0042635405214185,0.0026425697930444,0.526,0.54,10,0.0318,500.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,pearson,top_5pct,10,0.6679245283018868,0.0182281468505527,0.0112979224680672,0.6415094339622641,0.6981132075471698,10,0.1679245283018867,53.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,spearman,top_100,10,0.623,0.0156702123647242,0.009712498248248,0.6,0.64,10,0.123,100.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,spearman,top_500,10,0.5454000000000001,0.0071211734363875,0.0044137490237262,0.53,0.554,10,0.0454,500.0,10,1056.0,528.0,528.0,True
hcl_adult_celltype,ZJU_HCL_adult_celltype,Endothelial cell,trrust,spearman,top_5pct,10,0.6377358490566037,0.0214206117810394,0.0132766327320548,0.6037735849056604,0.660377358490566,10,0.1377358490566037,53.0,10,1056.0,528.0,528.0,True
