run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,1,155,155,0,0,0.0,0,0,0.0149010346932253,-0.004715400865652
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,2,155,155,0,0,0.0,0,0,0.0135260198054196,-0.0048872120695168
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,3,155,155,0,0,0.0,0,0,0.0146763540431232,-0.0060581727362463
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,4,155,155,0,0,0.0,0,0,0.0181630680311898,-0.0065418153047141
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,5,155,155,0,0,0.0,0,0,0.0156859282001863,-0.0060715486270466
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,6,155,155,0,0,0.0,0,0,0.0107197613074576,-0.0062750870947297
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,7,155,155,0,0,0.0,0,0,0.012497419754347,-0.007011220863077
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,8,155,155,0,0,0.0,0,0,0.0145189912879217,-0.0049969330616224
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust,9,155,155,0,0,0.0,0,0,0.0181783968920899,-0.0044075992937057
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,0,225,225,0,0,0.0,0,0,0.0157018525112198,-0.0064023565526565
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,1,225,225,0,0,0.0,0,0,0.0134783138438256,-0.0090025117362758
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,2,225,225,0,0,0.0,0,0,0.0157991754966232,-0.0062589016659357
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,3,225,225,0,0,0.0,0,0,0.0134431310851202,-0.0067964862903502
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,4,225,225,0,0,0.0,0,0,0.013227807909715,-0.0063651026713271
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,5,225,225,0,0,0.0,0,0,0.0140679122279829,-0.0084898841147289
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,6,225,225,0,0,0.0,0,0,0.0136436912849156,-0.0051572433211792
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,7,225,225,0,0,0.0,0,0,0.0147142303642899,-0.004280057550007
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,8,225,225,0,0,0.0,0,0,0.0149765962536043,-0.0074953568196904
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,dorothea_ab,9,225,225,0,0,0.0,0,0,0.0135964917333351,-0.0053131657523987
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,0,76,76,0,0,0.0,0,0,0.0283502344561729,-0.0120525456451546
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,1,76,76,0,0,0.0,0,0,0.0268523988292612,-0.008106006885189
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,2,76,76,0,0,0.0,0,0,0.0306040644870684,-0.0083180580342823
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,3,76,76,0,0,0.0,0,0,0.0224203240526123,-0.0061876611642985
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,4,76,76,0,0,0.0,0,0,0.0239158929501294,-0.0093831801967737
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,5,76,76,0,0,0.0,0,0,0.0259724444110321,-0.0052731827815223
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,6,76,76,0,0,0.0,0,0,0.0295356879463663,-0.0062326527593404
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,7,76,76,0,0,0.0,0,0,0.0226854869331982,-0.0060820360771534
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,8,76,76,0,0,0.0,0,0,0.0240662729748182,-0.0054018625448472
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_intersection,9,76,76,0,0,0.0,0,0,0.0233726628490616,-0.008991099006435
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,0,304,304,0,0,0.0,0,0,0.0101361148670717,-0.0062403086811112
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,1,304,304,0,0,0.0,0,0,0.0106593511319302,-0.0061276068200867
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,2,304,304,0,0,0.0,0,0,0.0142547888064799,-0.0051119904635742
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,3,304,304,0,0,0.0,0,0,0.0128449152491306,-0.0043692518557933
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,4,304,304,0,0,0.0,0,0,0.0105509590512572,-0.0054982113588289
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,5,304,304,0,0,0.0,0,0,0.0124782498413074,-0.0039214116407127
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,6,304,304,0,0,0.0,0,0,0.0122684061054195,-0.006620913544252
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,7,304,304,0,0,0.0,0,0,0.0126857340508084,-0.0070323626476354
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,8,304,304,0,0,0.0,0,0,0.0101713152997417,-0.0055096777229719
adult_tissue__adultliver,ZJU_HCL_adult_tissue,AdultLiver,trrust_dorothea_union,9,304,304,0,0,0.0,0,0,0.0126765154517438,-0.0055266590496385
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,0,454,454,0,0,0.0,0,0,0.0028749466597559,-0.0005581381402817
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,1,454,454,0,0,0.0,0,0,0.0026484608190014,-0.0011225178124612
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,2,454,454,0,0,0.0,0,0,0.0017884168395663,-0.0024797060413154
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,3,454,454,0,0,0.0,0,0,0.0028071954134117,-9.027231967224278e-05
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,4,454,454,0,0,0.0,0,0,0.0024174223109969,1.0840334421130089e-05
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,5,454,454,0,0,0.0,0,0,0.0023918600292974,-0.0015745788199543
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,6,454,454,0,0,0.0,0,0,0.0015779641432697,-0.0017945838367155
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,7,454,454,0,0,0.0,0,0,0.0026403400096057,-0.0007812046760372
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,8,454,454,0,0,0.0,0,0,0.0031561045110063,5.8512987405959735e-05
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,9,454,454,0,0,0.0,0,0,0.0028805381116572,-0.0019192743432141
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,0,760,760,0,0,0.0,0,0,0.0039505560787114,-0.0005240441109052
