run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,pearson,9,454,454,0.5,0.5305992741951134,0.5533606916388178,1.173913043478261,0.040945490822196,0.0363512057811021,0.0045942850410938,0.0611985483902268
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,spearman,9,454,454,0.5,0.5326369617108813,0.5544667614565638,1.2173913043478262,0.034876175224781,0.0313641037791967,0.0035120714455842,0.0652739234217625
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,mutual_information,9,454,454,0.5,0.5275912592908847,0.5474181785903399,1.2173913043478262,0.0006590003031305,0.0005499928374774,0.0001090074656531,0.0551825185817695
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,coexpression_probability,9,454,454,0.5,0.5440941023501329,0.5264984631609451,1.0434782608695652,0.0170678980648517,0.0137832108885049,0.0032846871763467,0.0881882047002657
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,trrust,formal_abs,codetection_odds_ratio,9,454,454,0.5,0.5933212365852238,0.5902533794130239,1.3478260869565215,1.339353621006012,1.259798288345337,0.079555332660675,0.1866424731704477
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,pearson,0,760,760,0.5,0.526919148199446,0.5264825580257058,1.1842105263157894,0.0467859487980604,0.0422552544623613,0.004530694335699,0.0538382963988919
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,spearman,0,760,760,0.5,0.5152415166204986,0.5241465749898488,1.2105263157894737,0.0383010562509298,0.0377981290221214,0.0005029272288084,0.0304830332409973
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,mutual_information,0,760,760,0.5,0.5162145083102493,0.522786666383954,1.2105263157894737,0.0008155512623488,0.0007266929605975,8.88583017513156e-05,0.0324290166204985
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,coexpression_probability,0,760,760,0.5,0.5261850761772853,0.5135100256159796,1.0263157894736843,0.0149889816530048,0.0134921623393893,0.0014968193136155,0.0523701523545705
adult_tissue__adultlung,ZJU_HCL_adult_tissue,AdultLung,dorothea_ab,formal_abs,codetection_odds_ratio,0,760,760,0.5,0.5513512811634349,0.5402756344641282,1.2105263157894737,1.3666179776191711,1.3021246194839478,0.0644933581352233,0.1027025623268698
