collection,pathway,msigdb_name,gene
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,FGR
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,FLNA
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,FYB1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,GALNT1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,GBP2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,GCNT1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,GLMN
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,GPR65
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,GZMA
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,GZMB
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HCLS1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HDAC9
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HIF1A
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HLA-A
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HLA-DMA
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HLA-DMB
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HLA-DOA
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HLA-DOB
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HLA-DQA1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HLA-DRA
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HLA-E
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,HLA-G
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ICAM1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ICOSLG
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IFNAR2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IFNG
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IFNGR1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IFNGR2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IGSF6
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IKBKB
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL10
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL11
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL12A
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL12B
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL12RB1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL13
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL15
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL16
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL18
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL18RAP
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL1B
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL27RA
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL2RA
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL2RB
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL2RG
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL4
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL4R
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL6
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL7
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IL9
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,INHBA
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,INHBB
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IRF4
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IRF7
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,IRF8
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ITGAL
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ITGB2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,ITK
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,JAK2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,KLRD1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,KRT1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,LCK
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,LCP2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,LIF
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,LTB
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,LY75
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,LY86
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,LYN
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,MAP3K7
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,MAP4K1
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,MBL2
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,MMP9
Hallmark,Allograft Rejection,HALLMARK_ALLOGRAFT_REJECTION,MRPL3
