source_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr
hcl_adult_celltype,Xenobiotic Metabolism,top_5pct,140,0,0.0,0.0635643390899424
hcl_adult_tissue,Apoptosis,top_100,80,41,2.426735976425995,3.387899334094374e-07
hcl_adult_tissue,Tnfa Signaling Via Nfkb,top_100,80,41,2.077520010853344,2.275700645630496e-18
hcl_adult_tissue,Hypoxia,top_100,80,38,2.3227467765199967,3.0817164263409736e-10
hcl_adult_tissue,Inflammatory Response,top_100,80,34,2.465513700666259,7.94280722454781e-08
hcl_adult_tissue,Interferon Gamma Response,top_100,80,21,1.9201595618004288,2.283839460379772e-05
hcl_adult_tissue,Allograft Rejection,top_100,80,19,2.283333333333333,7.756087622080769e-05
hcl_adult_tissue,P53 Pathway,top_100,80,19,2.2464586329443783,0.0008992722647445
hcl_adult_tissue,Mtorc1 Signaling,top_100,80,19,1.761870692285672,7.507852476447798e-08
hcl_adult_tissue,Glycolysis,top_100,80,16,1.3457633417000772,6.62698120156489e-07
hcl_adult_tissue,Kras Signaling Up,top_100,80,10,2.255030153508772,0.0021683678596048
hcl_adult_tissue,Epithelial Mesenchymal Transition,top_100,80,9,1.9211908336908337,0.0019153990052444
hcl_adult_tissue,Uv Response Up,top_100,80,8,1.9762388678668348,0.0047063761621764
hcl_adult_tissue,Reactive Oxygen Species Pathway,top_100,80,7,1.651494410392352,0.0210613083063136
hcl_adult_tissue,Uv Response Dn,top_100,80,6,1.657782414767709,0.0003033534079068
hcl_adult_tissue,Il6 Jak Stat3 Signaling,top_100,80,5,2.022288763066202,0.0050580258451287
hcl_adult_tissue,Pi3K Akt Mtor Signaling,top_100,80,4,1.9640604104889816,0.0179539609283632
hcl_adult_tissue,Complement,top_100,80,4,1.738095238095238,0.0039780634707791
hcl_adult_tissue,Il2 Stat5 Signaling,top_100,80,4,1.5227560975609755,0.0088274596393906
hcl_adult_tissue,Apical Surface,top_100,80,3,3.6038917154897727,0.0058231768734891
hcl_adult_tissue,Myogenesis,top_100,80,3,2.3576923076923078,0.0190603886524269
hcl_adult_tissue,Cholesterol Homeostasis,top_100,80,1,2.075296969046969,0.0009558450303918
hcl_adult_tissue,Interferon Alpha Response,top_100,80,1,1.076964171956408,0.0011705518227332
hcl_adult_tissue,Angiogenesis,top_100,80,0,2.698200738332317,0.0403542643320099
hcl_adult_tissue,G2M Checkpoint,top_100,80,0,1.6051755837470123,0.0766866925224287
hcl_adult_tissue,Apical Junction,top_100,75,0,1.5776183644189383,0.0502873157370587
hcl_adult_tissue,Estrogen Response Early,top_100,80,0,1.450874861572536,0.1407906836696228
hcl_adult_tissue,Fatty Acid Metabolism,top_100,80,0,1.4159024286108512,0.0236199319098916
hcl_adult_tissue,Tgf Beta Signaling,top_100,80,0,1.3670024270199834,0.0481780798503721
hcl_adult_tissue,Heme Metabolism,top_100,80,0,1.3324006525687198,0.0674784295538157
hcl_adult_tissue,E2F Targets,top_100,80,0,1.206756198842303,0.1488902127027974
hcl_adult_tissue,Peroxisome,top_100,80,0,1.1690900719262065,0.0801679559950822
hcl_adult_tissue,Unfolded Protein Response,top_100,80,0,1.120815345873163,0.1005615786776941
hcl_adult_tissue,Xenobiotic Metabolism,top_100,80,0,1.0306038808170208,0.1353141572677105
hcl_adult_tissue,Hedgehog Signaling,top_100,80,0,0.9393274853801168,0.017045768996624
hcl_adult_tissue,Estrogen Response Late,top_100,80,0,0.7611904843480545,0.2470980019029495
hcl_adult_tissue,Adipogenesis,top_100,80,0,0.5831328247775616,0.5083793745691957
hcl_adult_tissue,Oxidative Phosphorylation,top_100,80,0,0.5247902949340056,0.5162727286624699
hcl_adult_tissue,Myc Targets V1,top_100,80,0,0.5074596540113782,0.0816569515357864
hcl_adult_tissue,Androgen Response,top_100,80,0,0.0,0.5085680924366157
hcl_adult_tissue,Bile Acid Metabolism,top_100,70,0,0.0,0.1421217625578438
hcl_adult_tissue,Coagulation,top_100,80,0,0.0,0.1017148172697652
hcl_adult_tissue,Dna Repair,top_100,80,0,0.0,0.4107142857142857
hcl_adult_tissue,Kras Signaling Dn,top_100,80,0,0.0,0.4144736842105262
hcl_adult_tissue,Mitotic Spindle,top_100,80,0,0.0,0.0611233153204334
hcl_adult_tissue,Myc Targets V2,top_100,80,0,0.0,0.0768347560495065
hcl_adult_tissue,Notch Signaling,top_100,50,0,0.0,1.0
hcl_adult_tissue,Pancreas Beta Cells,top_100,55,0,0.0,1.0
hcl_adult_tissue,Protein Secretion,top_100,70,0,0.0,0.4144736842105262
hcl_adult_tissue,Spermatogenesis,top_100,70,0,0.0,0.2470980019029495
hcl_adult_tissue,Wnt Beta Catenin Signaling,top_100,50,0,0.0,0.2526924978759856
hcl_adult_tissue,Tnfa Signaling Via Nfkb,top_500,80,70,1.9139454094292805,5.118213880440938e-19
hcl_adult_tissue,Hypoxia,top_500,80,69,1.863636363636364,5.189695425447528e-11
hcl_adult_tissue,Apoptosis,top_500,80,65,1.9358530050877485,1.5750231431039438e-10
hcl_adult_tissue,Inflammatory Response,top_500,80,57,1.9135745207173775,1.1115455158635397e-07
hcl_adult_tissue,Interferon Gamma Response,top_500,80,56,1.972222222222222,3.9653526986430643e-13
hcl_adult_tissue,Allograft Rejection,top_500,80,43,2.099377710863347,7.140442822688028e-10
hcl_adult_tissue,Il6 Jak Stat3 Signaling,top_500,80,43,2.0432098765432096,3.726152489591275e-05
hcl_adult_tissue,Glycolysis,top_500,80,41,1.7125,1.9977673292336715e-06
hcl_adult_tissue,Il2 Stat5 Signaling,top_500,80,33,1.678741154925893,0.0004793446208473
hcl_adult_tissue,P53 Pathway,top_500,80,32,1.522222222222222,2.727317025186678e-05
hcl_adult_tissue,Uv Response Up,top_500,80,30,1.7181818181818185,4.481107393147285e-05
hcl_adult_tissue,Complement,top_500,80,27,1.5092592592592593,4.8476959686085525e-05
hcl_adult_tissue,Mtorc1 Signaling,top_500,80,22,1.598684210526316,0.0002101716995773
hcl_adult_tissue,G2M Checkpoint,top_500,80,20,1.8494623655913975,0.0001473345077833
hcl_adult_tissue,Interferon Alpha Response,top_500,80,18,1.9039351851851851,1.5577000407087306e-07
hcl_adult_tissue,Myc Targets V1,top_500,80,13,1.0216049382716048,0.001016003234241
hcl_adult_tissue,Uv Response Dn,top_500,80,8,1.6043944738389184,0.0010171761490906
hcl_adult_tissue,Kras Signaling Up,top_500,80,8,1.4691358024691357,0.0004095114274102
hcl_adult_tissue,Tgf Beta Signaling,top_500,80,6,1.6840277777777777,0.0026702896654594
hcl_adult_tissue,E2F Targets,top_500,80,6,1.6180555555555554,0.0009129270654679
hcl_adult_tissue,Reactive Oxygen Species Pathway,top_500,80,6,1.5394837044269254,0.0019897895704736
hcl_adult_tissue,Epithelial Mesenchymal Transition,top_500,80,6,1.4421768707482994,0.0019560707589263
hcl_adult_tissue,Hedgehog Signaling,top_500,80,4,2.158163265306122,0.0216344811615737
hcl_adult_tissue,Myogenesis,top_500,80,4,1.4218158272248873,0.0090007280341287
hcl_adult_tissue,Apical Surface,top_500,80,3,2.23015873015873,0.0037059173146597
hcl_adult_tissue,Pi3K Akt Mtor Signaling,top_500,80,2,1.6592592592592592,0.0008448776978425
hcl_adult_tissue,Apical Junction,top_500,75,2,1.4753086419753083,0.0042880892581366
hcl_adult_tissue,Cholesterol Homeostasis,top_500,80,1,1.530726752664703,0.0188519506686598
hcl_adult_tissue,Unfolded Protein Response,top_500,80,1,1.492063492063492,0.0126315139046613
hcl_adult_tissue,Fatty Acid Metabolism,top_500,80,1,1.3384979441182807,0.0148518417208194
hcl_adult_tissue,Heme Metabolism,top_500,80,1,1.1516513357552771,0.0326977865139263
hcl_adult_tissue,Peroxisome,top_500,80,1,1.0356744988892217,0.0102600190421229
hcl_adult_tissue,Myc Targets V2,top_500,80,1,0.7883051161203516,0.0187304280804471
hcl_adult_tissue,Wnt Beta Catenin Signaling,top_500,50,0,2.0432098765432096,0.0867303721713068
hcl_adult_tissue,Mitotic Spindle,top_500,80,0,1.7265306122448978,0.0235407780386716
hcl_adult_tissue,Angiogenesis,top_500,80,0,1.4217865602313275,0.0646200701495869
hcl_adult_tissue,Estrogen Response Early,top_500,80,0,1.2462804768196012,0.0394873039002852
hcl_adult_tissue,Estrogen Response Late,top_500,80,0,1.205454760835952,0.0169881793194419
hcl_adult_tissue,Xenobiotic Metabolism,top_500,80,0,1.1749650141860286,0.0739609180411236
hcl_adult_tissue,Bile Acid Metabolism,top_500,70,0,1.0460069444444446,0.1787952828081611
hcl_adult_tissue,Coagulation,top_500,80,0,0.8296296296296296,0.0289958612806186
hcl_adult_tissue,Protein Secretion,top_500,70,0,0.8223241947273987,0.3781112091791703
hcl_adult_tissue,Androgen Response,top_500,80,0,0.7311827956989246,0.1935558054068804
hcl_adult_tissue,Adipogenesis,top_500,80,0,0.7179958254869839,0.0338194384186732
hcl_adult_tissue,Dna Repair,top_500,80,0,0.6665028253404015,0.3108921729611384
hcl_adult_tissue,Oxidative Phosphorylation,top_500,80,0,0.6418560606060606,0.2938870884046364
hcl_adult_tissue,Kras Signaling Dn,top_500,80,0,0.0,0.3086778297462083
hcl_adult_tissue,Notch Signaling,top_500,50,0,0.0,0.2657710280373832
hcl_adult_tissue,Pancreas Beta Cells,top_500,55,0,0.0,1.0
hcl_adult_tissue,Spermatogenesis,top_500,70,0,0.0,0.3277022474474756
hcl_adult_tissue,Hypoxia,top_5pct,80,27,3.402572278911564,3.0817164263409736e-10
hcl_adult_tissue,Apoptosis,top_5pct,80,26,3.236185383244207,7.079671919343649e-07
hcl_adult_tissue,Tnfa Signaling Via Nfkb,top_5pct,80,23,3.0617273850742,2.275700645630496e-18
hcl_adult_tissue,Inflammatory Response,top_5pct,80,16,2.3891914959892158,1.2433178203258331e-06
hcl_adult_tissue,P53 Pathway,top_5pct,80,13,3.599968543012274,0.0008992722647445
hcl_adult_tissue,Mtorc1 Signaling,top_5pct,80,13,1.188226174410385,4.447536354942868e-07
hcl_adult_tissue,Interferon Gamma Response,top_5pct,80,10,1.338858234295416,0.0005231690347829
hcl_adult_tissue,Glycolysis,top_5pct,80,9,0.0,2.590568086289651e-06
hcl_adult_tissue,Reactive Oxygen Species Pathway,top_5pct,80,9,0.0,0.0155936133319134
hcl_adult_tissue,Allograft Rejection,top_5pct,80,7,2.362620647468473,0.0026680681587595
hcl_adult_tissue,Kras Signaling Up,top_5pct,80,7,2.0620648844333056,0.0021683678596048
hcl_adult_tissue,Epithelial Mesenchymal Transition,top_5pct,80,6,3.129606481481481,0.0049915508009459
hcl_adult_tissue,Il6 Jak Stat3 Signaling,top_5pct,80,5,2.860965959328028,0.0011999820048838
hcl_adult_tissue,Myogenesis,top_5pct,80,5,2.449670008354219,0.0013178114593503
hcl_adult_tissue,Uv Response Dn,top_5pct,80,4,2.367796184908805,0.001376015113206
hcl_adult_tissue,Il2 Stat5 Signaling,top_5pct,80,3,1.3815410947631743,0.0103880627053459
hcl_adult_tissue,Pi3K Akt Mtor Signaling,top_5pct,80,2,0.0,0.0250276504499421
hcl_adult_tissue,Apical Surface,top_5pct,80,0,4.189803543421965,0.0402100845519575
hcl_adult_tissue,Uv Response Up,top_5pct,80,0,3.0616071428571425,0.0411672758604975
hcl_adult_tissue,Cholesterol Homeostasis,top_5pct,80,0,2.8790945165945168,0.0689385691667549
hcl_adult_tissue,Complement,top_5pct,80,0,2.1894526455329526,0.0303235880077359
hcl_adult_tissue,Estrogen Response Early,top_5pct,80,0,1.6091525915363998,0.1125087623939707
hcl_adult_tissue,Unfolded Protein Response,top_5pct,80,0,1.3516596580641989,0.2195495367628934
hcl_adult_tissue,Estrogen Response Late,top_5pct,80,0,0.85581188306153,0.2470980019029495
hcl_adult_tissue,Adipogenesis,top_5pct,80,0,0.0,0.5083793745691957
hcl_adult_tissue,Androgen Response,top_5pct,80,0,0.0,0.4772667761103464
hcl_adult_tissue,Angiogenesis,top_5pct,80,0,0.0,0.0403542643320099
hcl_adult_tissue,Apical Junction,top_5pct,75,0,0.0,0.0364658196782253
hcl_adult_tissue,Bile Acid Metabolism,top_5pct,70,0,0.0,0.5266846964845987
hcl_adult_tissue,Coagulation,top_5pct,80,0,0.0,0.099529245293899
hcl_adult_tissue,Dna Repair,top_5pct,80,0,0.0,1.0
hcl_adult_tissue,E2F Targets,top_5pct,80,0,0.0,0.1862417765862457
hcl_adult_tissue,Fatty Acid Metabolism,top_5pct,80,0,0.0,0.054045219738454
hcl_adult_tissue,G2M Checkpoint,top_5pct,80,0,0.0,0.1710603415368633
hcl_adult_tissue,Hedgehog Signaling,top_5pct,80,0,0.0,0.2176656151419558
hcl_adult_tissue,Heme Metabolism,top_5pct,80,0,0.0,0.1916882510718987
hcl_adult_tissue,Interferon Alpha Response,top_5pct,80,0,0.0,0.222955407393063
hcl_adult_tissue,Kras Signaling Dn,top_5pct,80,0,0.0,1.0
hcl_adult_tissue,Mitotic Spindle,top_5pct,80,0,0.0,0.0611233153204334
hcl_adult_tissue,Myc Targets V1,top_5pct,80,0,0.0,0.1773418012002717
hcl_adult_tissue,Myc Targets V2,top_5pct,80,0,0.0,0.3697732475008358
hcl_adult_tissue,Notch Signaling,top_5pct,50,0,0.0,1.0
hcl_adult_tissue,Oxidative Phosphorylation,top_5pct,80,0,0.0,0.6232826871580638
hcl_adult_tissue,Pancreas Beta Cells,top_5pct,55,0,0.0,1.0
hcl_adult_tissue,Peroxisome,top_5pct,80,0,0.0,0.1798318353989854
hcl_adult_tissue,Protein Secretion,top_5pct,70,0,0.0,0.6264238737138015
