dataset,condition,edge_set,metric,auroc_mean_refined,auprc_mean_refined,enrichment_at_5pct_mean_refined,median_difference_mean_refined,cliffs_delta_mean_refined,auroc_mean_current,auprc_mean_current,enrichment_at_5pct_mean_current,median_difference_mean_current,cliffs_delta_mean_current,delta_auroc_refined_minus_current,delta_auprc_refined_minus_current,delta_enrichment_at_5pct_refined_minus_current,delta_median_difference_refined_minus_current,delta_cliffs_delta_refined_minus_current
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,codetection_odds_ratio,0.5870200108166577,0.5741951492198065,1.1419354838709677,0.09215699434280396,0.1740400216333153,0.62248828125,0.6454929655507556,1.6,0.124918133020401,0.2449765624999999,-0.03546827043334233,-0.07129781633094912,-0.45806451612903243,-0.03276113867759704,-0.0709365408666846
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,coexpression_probability,0.5272910895023234,0.5250125062559875,1.0064516129032257,0.0015882719308137894,0.05458217900464677,0.5548291015625,0.5421086198683909,0.96875,0.0035965182818472,0.109658203125,-0.027538012060176587,-0.017096113612403374,0.03770161290322571,-0.0020082463510334107,-0.055076024120353236
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,mutual_information,0.516724980960475,0.5163394466049709,0.9483870967741936,0.0002973241964355111,0.03344996192095011,0.5685419921875,0.5602101921977297,1.16875,0.0008160390194999,0.137083984375,-0.05181701122702498,-0.04387074559275883,-0.22036290322580632,-0.000518714823064389,-0.10363402245404989
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,pearson,0.5331210472290593,0.5339008185647316,1.096774193548387,0.004360530897974968,0.06624209445811853,0.6288232421875,0.6273309011023588,1.45625,0.0124756887555122,0.257646484375,-0.09570219495844068,-0.09343008253762719,-0.35947580645161303,-0.008115157857537232,-0.19140438991688147
Kang_IFN_beta,ctrl,trrust_dorothea_intersection,spearman,0.5336563614088145,0.5360999266539355,1.1032258064516127,0.005137655884027481,0.06731272281762894,0.6154716796875,0.622364220949369,1.44375,0.0128744856454431,0.2309433593749999,-0.0818153182786856,-0.08626429429543359,-0.34052419354838737,-0.007736829761415619,-0.16363063655737098
Kang_IFN_beta,stim,trrust_dorothea_intersection,codetection_odds_ratio,0.5835143921514183,0.5765419873160849,1.2666666666666666,0.10433799624443055,0.16702878430283674,0.6533484835732122,0.6587854761392065,1.593939393939394,0.249158763885498,0.3066969671464242,-0.06983409142179386,-0.0822434888231216,-0.3272727272727274,-0.14482076764106747,-0.13966818284358745
Kang_IFN_beta,stim,trrust_dorothea_intersection,coexpression_probability,0.5191118284048313,0.5187176840794696,1.0666666666666667,0.0012884176336228847,0.038223656809662644,0.5778656865770745,0.5707408296648662,1.3636363636363638,0.0112333925440907,0.155731373154149,-0.05875385817224321,-0.05202314558539656,-0.2969696969696971,-0.009944974910467815,-0.11750771634448637
Kang_IFN_beta,stim,trrust_dorothea_intersection,mutual_information,0.5129483085751307,0.5071061524630073,1.04,0.0002451843582093716,0.02589661715026148,0.5878330480973356,0.5741131415908239,1.3333333333333337,0.0025316521525382,0.1756660961946712,-0.07488473952220487,-0.06700698912781666,-0.29333333333333367,-0.0022864677943288283,-0.1497694790444097
Kang_IFN_beta,stim,trrust_dorothea_intersection,pearson,0.5280091628488129,0.5331109828989777,1.1333333333333333,0.003958616685122251,0.05601832569762597,0.6208334502333324,0.6175802550264498,1.3151515151515152,0.0124277615919709,0.2416669004666648,-0.09282428738451942,-0.08446927212747202,-0.18181818181818188,-0.00846914490684865,-0.18564857476903884
Kang_IFN_beta,stim,trrust_dorothea_intersection,spearman,0.53295039104077,0.5291915089244237,1.1199999999999999,0.004278250876814127,0.06590078208154011,0.6372667845018658,0.6260579776125708,1.3575757575757577,0.0169831737875938,0.2745335690037314,-0.10431639346109578,-0.09686646868814708,-0.23757575757575777,-0.012704922910779673,-0.20863278692219128
PBMC10k,all,dorothea_ab,codetection_odds_ratio,0.5178779902851618,0.5180667054011145,1.0820415879017014,0.03173196315765381,0.03575598057032352,0.5525077080332303,0.5652402529171028,1.3236499068901304,0.1039639949798583,0.1050154160664605,-0.034629717748068556,-0.047173547515988234,-0.24160831898842905,-0.07223203182220449,-0.06925943549613699
