dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high
PBMC10k,all,trrust,formal_abs,pearson,10,2651.0,2651.0,0.5,0.5219777210538545,0.0025013929172448524,0.5224477738132983,0.002080882291580923,1.0714285714285716,0.019169246291702104,0.0039643883705139495,0.0007649622648853353,0.043955442107709096,0.005002785834489704,0.0411289595067501,0.037164571136236155,0.5201883323560026,0.5237671097517065,0.5209592002955415,0.5239363473310551,1.0577157187118968,1.0851414241452464,0.003417167331535104,0.004511609409492795,0.040376664712005184,0.04753421950341301
PBMC10k,all,trrust,formal_abs,spearman,10,2651.0,2651.0,0.5,0.5146321729940845,0.003041493345174042,0.5184343001159639,0.0022570379138131358,1.0390977443609022,0.02671260670571266,0.002878802269697161,0.0009168976459151852,0.02926434598816898,0.0060829866903480264,0.0596461929380893,0.056767390668392134,0.5124564197252054,0.5168079262629636,0.516819712457321,0.5200488877746069,1.0199886966779756,1.0582067920438287,0.002222893206640077,0.003534711332754245,0.02491283945041094,0.033615852525927026
PBMC10k,all,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,1079.0,1079.0,0.5,0.5185263188635343,0.006707605768807471,0.5259474056130049,0.0051176217115565135,1.1685185185185185,0.030802407283641132,0.030449962615967018,0.021472511736765246,0.03705263772706853,0.013415211537614892,1.75690507888794,1.7264551162719726,0.5137279867544106,0.523324650972658,0.5222864795795902,0.5296083316464196,1.146483803748202,1.1905532332888351,0.015089453056924338,0.0458104721750097,0.02745597350882109,0.04664930194531597
PBMC10k,all,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,1079.0,1079.0,0.5,0.5030362270354678,0.001977355625279418,0.5032596027899938,0.0009999732439732918,1.0203703703703704,0.005856069741052464,-0.0010253421962261255,0.0008101723536953752,0.006072454070935485,0.003954711250558832,0.0799433141946792,0.08096865639090534,0.5016217120334,0.5044507420375356,0.5025442650241497,0.5039749405558379,1.0161811904393685,1.0245595503013722,-0.001604904584453962,-0.0004457798079982888,0.003243424066799891,0.008901484075071079
PBMC10k,all,trrust_dorothea_intersection,formal_abs,mutual_information,10,1079.0,1079.0,0.5,0.5107615175895712,0.0031679413820300474,0.5083673778773072,0.002623672795914725,1.0351851851851852,0.026835882863313742,7.178639999999882e-05,0.0002292169536803267,0.021523035179142447,0.0063358827640600714,0.0167398,0.0166680136,0.5084953088442831,0.5130277263348594,0.5064905154237898,0.5102442403308247,1.0159879510515795,1.054382419318791,-9.218553077663374e-05,0.00023575833077663137,0.016990617688566204,0.02605545266971869
PBMC10k,all,trrust_dorothea_intersection,formal_abs,pearson,10,1079.0,1079.0,0.5,0.5261674344057631,0.005362875690137707,0.5206166335287981,0.0030068997370442966,1.0574074074074074,0.00585606974105259,0.007403181120753282,0.0018054622750167135,0.05233486881152614,0.010725751380275388,0.05684976279735561,0.04944658167660232,0.5223310642450579,0.5300038045664682,0.5184656270363964,0.5227676400211997,1.0532182274764055,1.0615965873384092,0.006111631213883234,0.008694731027623331,0.044662128490115804,0.06000760913293647
PBMC10k,all,trrust_dorothea_intersection,formal_abs,spearman,10,1079.0,1079.0,0.5,0.5196289256262234,0.004940937398627129,0.5174371275081799,0.003400733221092578,1.0703703703703704,0.03123237195228024,0.004295414686202995,0.0015532363954320772,0.03925785125244692,0.009881874797254293,0.074044220149517,0.06974880546331401,0.5160943919362362,0.5231634593162107,0.5150043895131691,0.5198698655031908,1.0480280774050272,1.0927126633357136,0.003184296304153778,0.005406533068252211,0.032188783872472385,0.04632691863242146
PBMC10k,all,trrust_dorothea_union,formal_abs,codetection_odds_ratio,10,6855.0,6855.0,0.5,0.5163218199645571,0.0020356380429998582,0.5185968882190705,0.001686882568277442,1.0807580174927114,0.009121632676584916,0.031464338302612305,0.005988889074757996,0.03264363992911405,0.004071276085999554,1.605852484703064,1.5743881464004517,0.5148656122324773,0.5177780276966368,0.5173901651243222,0.5198036113138187,1.0742327945639538,1.087283240421469,0.027180145144000262,0.03574853146122435,0.029731224464954714,0.03555605539327339
PBMC10k,all,trrust_dorothea_union,formal_abs,coexpression_probability,10,6855.0,6855.0,0.5,0.5038368475682324,0.00044956390752660393,0.5027015046232165,0.00024375905492285516,1.02332361516035,0.0043460990816322435,0.0007335774600505495,0.00031876326040552517,0.007673695136464875,0.0008991278150530813,0.0761087015271186,0.07537512406706806,0.5035152489223162,0.5041584462141486,0.502527129899889,0.502875879346544,1.02021460316835,1.0264326271523498,0.000505547960355499,0.0009616069597456001,0.007030497844632606,0.008316892428297144
PBMC10k,all,trrust_dorothea_union,formal_abs,mutual_information,10,6855.0,6855.0,0.5,0.5076652222419068,0.0008507742724072181,0.5068270043684419,0.001016764560798761,1.0198250728862974,0.018632553486813426,0.00044147879999999976,0.00010414437563311353,0.015330444483813687,0.001701548544814574,0.015693314,0.0152518352,0.5070566149907335,0.5082738294930801,0.5060996548181467,0.507554353918737,1.0064961470739748,1.03315399869862,0.0003669784016747332,0.0005159791983252663,0.014113229981467032,0.016547658986160344
