dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,7,294,294,0.5,0.5110197140080522,0.5070209933921268,1.0666666666666667,0.003942709416151047,0.00387687049806118,6.583891808986664e-05,0.02203942801610448
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,7,294,294,0.5,0.5212122263871535,0.520548102620404,1.0666666666666667,0.030667024664580822,0.02892229240387678,0.0017447322607040405,0.04242445277430695
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,7,294,294,0.5,0.5924036281179138,0.584448228410182,1.2666666666666666,1.3645514249801636,1.2283895015716553,0.1361619234085083,0.1848072562358276
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,8,294,294,0.5,0.5125873478643158,0.5266720420698008,1.1333333333333333,0.02796993777155876,0.024844065308570862,0.0031258724629878998,0.025174695728631624
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,8,294,294,0.5,0.5167638483965015,0.5238825063928951,1.1333333333333333,0.03236093185842037,0.03074005711823702,0.0016208747401833534,0.03352769679300294
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,mutual_information,8,294,294,0.5,0.5022444351890416,0.5061978458040985,1.0,0.003942709416151047,0.003952649887651205,-9.94047150015831e-06,0.0044888703780832095
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,coexpression_probability,8,294,294,0.5,0.5195867462631311,0.5193375163987696,1.0666666666666667,0.030667024664580822,0.028653872199356556,0.002013152465224266,0.03917349252626212
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,8,294,294,0.5,0.5813549909759822,0.5773881163454047,1.2666666666666666,1.3645514249801636,1.264907717704773,0.09964370727539062,0.1627099819519644
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,pearson,9,294,294,0.5,0.5098570040261002,0.5232837193136478,1.1333333333333333,0.02796993777155876,0.02645313087850809,0.0015168068930506706,0.01971400805220047
Kang_IFN_beta,stim,trrust_dorothea_intersection,formal_abs,spearman,9,294,294,0.5,0.5209866259428941,0.5223623082992741,1.1333333333333333,0.03236093185842037,0.028238525614142418,0.004122406244277954,0.041973251885788265
