tf,target,mode,weight,confidence,tf_detection_rate,tf_mean_counts,target_detection_rate,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
POU2F2,SPI1,Activation,1.0,A,0.1185701830863129,0.2162162162162165,0.064516129032258,0.1072362685265913,0.13044467994027192,0.42127673540283506,202
RARA,CDKN1A,Activation,1.0,A,0.0588491717523975,0.0950305143853533,0.0884917175239759,0.1761115954664344,0.3646829152852647,0.7525608091303831,203
RARA,ETS1,Activation,1.0,A,0.0588491717523975,0.0950305143853533,0.4171752397558917,0.942022667829126,2.9694713931406795,5.294164292595331,204
RBPJ,NFKB1,Activation,1.0,A,0.1412380122057548,0.2397558849171755,0.2175239755884911,0.597646033129907,1.7982802164157037,2.535471460464055,205
RBPJ,PTEN,Repression,-1.0,A,0.1412380122057548,0.2397558849171755,0.0614646904969485,0.0950305143853532,0.08893410658799449,0.3791133078375115,206
RELA,AKT1,Repression,-1.0,A,0.1421098517872718,0.2428073234524849,0.1185701830863129,0.1795989537925024,0.3765430791002011,1.1681717379885797,207
RELA,BCL3,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0802092414995643,0.1325196163905845,0.21643086759856095,0.6381172200245033,208
RELA,BIRC2,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.1734960767218833,0.2728857890148217,0.6938024611497488,1.9271134341643958,209
RELA,BIRC3,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.2558849171752389,0.7288578901482173,2.244518879952689,3.0655259784281204,210
RELA,CCL4,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0605928509154315,0.1830863121185704,0.3884032429151374,0.3670666142474191,211
RELA,CD58,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0571054925893635,0.0976460331299043,0.09782922944919706,0.3188798398870493,213
RELA,CD69,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0675675675675676,0.1660854402789889,0.3305849443173227,0.4634401629681601,214
RELA,CD83,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0867480383609419,0.3352223190932874,0.9058028893417364,0.7284674219501982,216
RELA,CDKN1A,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0884917175239759,0.1761115954664344,0.3646829152852647,0.7525608091303831,217
RELA,CFLAR,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.2170880557977326,0.3805579773321729,1.0599850189359137,2.529448113669009,218
RELA,CTSB,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.2083696599825628,0.6054925893635609,1.8249655849993134,2.4089811777680867,219
RELA,GATA3,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.09023539668701,0.160854402789887,0.3127946985949186,0.7766541963105694,222
RELA,GSTP1,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.2127288578901477,0.4934612031386254,1.4439578224444805,2.469214645718548,223
RELA,HDAC1,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.1338273757628604,0.2249346120313863,0.5307252086943729,1.3789888758151978,224
RELA,HIF1A,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.1669572798605059,0.2955536181342643,0.7708935259468369,1.836763232238704,225
RELA,IER3,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0527462946817785,0.1168265039232784,0.16306013043134718,0.25864637193658707,226
RELA,IRF1,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.2027027027027023,0.3866608544027924,1.080740305612054,2.330677669432486,227
RELA,IRF7,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.158238884045336,0.3081952920662609,0.8138866197759814,1.7162962963377808,228
RELA,KDM2A,Activation,0.5,B,0.1421098517872718,0.2428073234524849,0.1765475152571927,0.2942458587619887,0.7664459645162356,1.969276861729718,229
RELA,MCL1,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.485178727114221,1.1412380122057553,3.6469832510688995,6.233806392622588,230
RELA,MYC,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0671316477768091,0.1455972101133393,0.2609064819045715,0.45741681617311397,231
RELA,NCOR2,Activation,0.5,B,0.1421098517872718,0.2428073234524849,0.0723626852659112,0.1294681778552749,0.20605322426049136,0.5296969777136701,232
RELA,NFKB1,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.2175239755884911,0.597646033129907,1.7982802164157037,2.535471460464055,233
RELA,NFKBIA,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.2048823016564948,0.4612031386224957,1.3342513071563171,2.3607944034077173,234
RELA,NFKBIZ,Activation,0.5,B,0.1421098517872718,0.2428073234524849,0.1168265039232789,0.2946817785527471,0.7679284849931021,1.1440783508083947,235
RELA,NOLC1,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0536181342632955,0.0841325196163906,0.05187109466631809,0.2706930655266795,236
RELA,OPTN,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.1081081081081088,0.1726242371403664,0.3528227514703284,1.0236114149074687,237
RELA,PLAUR,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0632083696599825,0.1342632955536184,0.22236094950602883,0.40320669501769646,238
RELA,POU2F2,Activation,0.5,B,0.1421098517872718,0.2428073234524849,0.1185701830863129,0.2162162162162165,0.5010747991570328,1.1681717379885797,239
RELA,S100A6,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.4516129032258149,1.6517000871839496,5.3830147294801725,5.770008689404007,240
RELA,SOD2,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.1569311246730605,0.5440278988666104,1.6159301977610538,1.698226255952642,241
RELA,STAT1,Activation,0.5,B,0.1421098517872718,0.2428073234524849,0.2105492589363552,0.4559721011333941,1.316461061433914,2.4390979117433167,242
RELA,STAT3,Activation,0.5,B,0.1421098517872718,0.2428073234524849,0.0588491717523975,0.0775937227550132,0.029633287513312824,0.34297322706723415,243
RELA,TNFAIP3,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.2925021795989547,0.8007846556233699,2.489134758635751,3.5714871092120277,245
RELA,TNFRSF10B,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.0793374019180473,0.1360069747166524,0.228291031413497,0.6260705264344111,246
RELA,TP53,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.1517000871839586,0.2698343504795122,0.6834248178116795,1.625946094412089,247
RELA,TRAF1,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.1076721883173502,0.2214472537053184,0.518865044879437,1.0175880681124214,248
RELA,XIAP,Activation,1.0,A,0.1421098517872718,0.2428073234524849,0.091107236268527,0.1368788142981697,0.23125607236723206,0.7887008899006618,249
RFX1,MYC,Repression,-1.0,A,0.054054054054054,0.0732345248474281,0.0671316477768091,0.1455972101133393,0.2609064819045715,0.45741681617311397,250
RFX1,PCNA,Repression,-1.0,A,0.054054054054054,0.0732345248474281,0.1294681778552755,0.2153443766346995,0.49810975820329867,1.3187554078647368,251
RORA,TUBA1B,Activation,1.0,A,0.091107236268527,0.139058413251962,0.3679163034001788,1.095466434176115,3.4913186009978676,4.613526104755074,252
RUNX1,CSF1R,Activation,1.0,A,0.091107236268527,0.141673931996513,0.054925893635571,0.1259808195292069,0.194193060445555,0.2887631059118182,253
RUNX1,ITGB2,Activation,1.0,A,0.091107236268527,0.141673931996513,0.0897994768962514,0.1595466434176114,0.30834713716431716,0.7706308495155217,254
RUNX1,LGALS3,Activation,1.0,A,0.091107236268527,0.141673931996513,0.1102877070619013,0.2733217088055803,0.6952849816266162,1.0537281488827,255
RUNX1,NFKB1,Activation,1.0,A,0.091107236268527,0.141673931996513,0.2175239755884911,0.597646033129907,1.7982802164157037,2.535471460464055,256
RUNX1,PIK3CD,Activation,1.0,A,0.091107236268527,0.141673931996513,0.2720139494333042,0.5331299040976503,1.578867185839386,3.2883898098448414,257
RUNX1,PRKCQ,Activation,1.0,A,0.091107236268527,0.141673931996513,0.0727986050566697,0.1142109851787275,0.1541650075701453,0.5357203245087162,258
RUNX1,SPI1,Activation,1.0,A,0.091107236268527,0.141673931996513,0.064516129032258,0.1072362685265913,0.13044467994027192,0.42127673540283506,259
RUNX3,CASP8,Activation,1.0,A,0.2175239755884911,0.4115082824760268,0.2301656495204874,0.4590235396687031,1.3268387047719814,2.710148517520393,261
RUNX3,CFLAR,Repression,-1.0,A,0.2175239755884911,0.4115082824760268,0.2170880557977326,0.3805579773321729,1.0599850189359137,2.529448113669009,262
RUNX3,ICAM3,Repression,-1.0,A,0.2175239755884911,0.4115082824760268,0.0780296425457718,0.1233653007846559,0.1852979375843528,0.6080004860492723,263
RUNX3,RUNX1,Repression,-1.0,A,0.2175239755884911,0.4115082824760268,0.091107236268527,0.141673931996513,0.24756379761276878,0.7887008899006618,264
RXRA,NOL7,Activation,1.0,A,0.0562336530078465,0.0959023539668703,0.0841325196163909,0.1421098517872714,0.24904631808963554,0.6923273411799208,265
SATB1,CD8B,Activation,1.0,A,0.1634699215344379,0.2693984306887539,0.0675675675675676,0.1495204882301659,0.27424916619637524,0.4634401629681601,266
SKIL,SMAD7,Repression,-1.0,A,0.2641673931996508,0.550130775937231,0.1059285091543162,0.2122929380993899,0.4877321148652291,0.9934946809322364,267
SMAD3,AHR,Activation,1.0,A,0.1381865736704453,0.2332170880557982,0.123801220575415,0.2868352223190941,0.7412431164094954,1.2404518995291356,268
SMAD3,CCND2,Activation,1.0,A,0.1381865736704453,0.2332170880557982,0.1521360069747171,0.3142981691368798,0.8346419064521197,1.631969441207135,269
SMAD3,CDKN1A,Activation,1.0,A,0.1381865736704453,0.2332170880557982,0.0884917175239759,0.1761115954664344,0.3646829152852647,0.7525608091303831,270
