tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
NFYC,LPIN1,Unknown,TRRUST,,,0.0718823742966047,0.1032250257154969,0.07641956,0.11399391,0.07724060255505136,1.149862175414417,1663
NME2,MYC,Activation,DoRothEA_AB,1.0,A,0.0864040660736976,0.285230229321708,0.09795987,0.60675657,0.6854629191836673,3.6029672870455456,1664
NPM1,BRD4,Unknown,TRRUST,,,0.9216433714529524,0.1476977067828389,4.2644897,0.16718303,0.1428925125147822,1.7492744949120476,1665
NPM1,DNMT1,Unknown,TRRUST,,,0.9216433714529524,0.1480002420281949,4.2644897,0.16905911,0.14520817848626755,1.7533521297385612,1666
NPM1,PTPN6,Activation,TRRUST,,,0.9216433714529524,0.2216373207478535,4.2644897,0.27857774,0.2803882159765113,2.7458484465120767,1667
NPM1,USP7,Unknown,TRRUST,,,0.9216433714529524,0.0568766261269426,4.2644897,0.059780363,0.010324231194862754,0.525168519992333,1669
NR1H2,BHLHE40,Activation,DoRothEA_AB,1.0,A,0.2138319114176678,0.0874931929569796,0.25099024,0.10933506,0.07149013327268885,0.9378251644356395,1670
NR3C1,ATF2,Repression,DoRothEA_AB,-1.0,A,0.1855146124523431,0.0551219217038774,0.2315664,0.058025673,0.0081583982221187,0.5015182379985489,1671
NR3C1,BAD,Activation,TRRUST,,,0.1855146124523431,0.0951775881890246,0.2315664,0.101771645,0.06215452778479815,1.0413970890291193,1672
NR3C1,BAX,Activation,TRRUST,,,0.1855146124523431,0.3966842137109219,0.2315664,0.62054837,0.7024862880941252,5.105167957134004,1673
NR3C1,CCND3,Repression,TRRUST,,,0.1855146124523431,0.3118533309130512,0.2315664,0.4842406,0.5342401234113536,3.961799151778945,1674
NR3C1,CDK4,Repression,TRRUST,,,0.1855146124523431,0.193985599322312,0.2315664,0.2672014,0.26634627564451696,2.3731526233686937,1675
NR3C1,CDK6,Repression,DoRothEA_AB,-1.0,A,0.1855146124523431,0.0611121195619275,0.2315664,0.072728746,0.026306561318769836,0.5822554075635353,1676
NR3C1,ELK1,Repression,TRRUST,,,0.1855146124523431,0.0573001754704411,0.2315664,0.061172,0.012041943896645178,0.5308772087494534,1677
NR3C1,ETS1,Repression,DoRothEA_AB,-1.0,A,0.1855146124523431,0.2819023416227901,0.2315664,0.35590377,0.3758325767612628,3.5581133039538706,1678
NR3C1,NFKB1,Repression,TRRUST,,,0.1855146124523431,0.1009257578507906,0.2315664,0.11804789,0.08224447421035508,1.1188721507329042,1679
NR3C1,NR3C1,Unknown,TRRUST,,,0.1855146124523431,0.1855146124523431,0.2315664,0.2315664,0.22236160713684086,2.2589788482263016,1680
NR3C1,PNRC1,Unknown,TRRUST,,,0.1855146124523431,0.5099534095722729,0.2315664,0.81003445,0.936371019835924,6.631834436181558,1681
NR3C1,PPIG,Unknown,TRRUST,,,0.1855146124523431,0.2956979488110315,0.2315664,0.37084836,0.3942788469207445,3.744053452042995,1682
NR3C1,RPS6KA3,Activation,TRRUST,,,0.1855146124523431,0.0801718400193619,0.2315664,0.08537449,0.04191534082972633,0.839146401633977,1683
NR3C1,STAT1,Repression,TRRUST,,,0.1855146124523431,0.3569915895201921,0.2315664,0.62375486,0.7064440936146298,4.570182267895118,1684
NR3C1,TP53,Repression,TRRUST,,,0.1855146124523431,0.1242209717432105,0.2315664,0.14055775,0.11002863950442551,1.4328500323745565,1685
NR3C1,ZBTB38,Activation,DoRothEA_AB,0.5,B,0.1855146124523431,0.060386034973073,0.2315664,0.066254556,0.018315398108282636,0.5724690839799015,1686
PARP1,BCL2,Repression,TRRUST,,,0.2079022206086896,0.1349307194288143,0.24947752,0.15768246,0.13116585551789783,1.577198305233156,1687
PARP1,FOXO1,Repression,TRRUST,,,0.2079022206086896,0.0503418648272515,0.24947752,0.05245911,0.0012875289003256565,0.4370916077396197,1688
PARP1,IFNAR1,Unknown,TRRUST,,,0.2079022206086896,0.0821685726387122,0.24947752,0.08676612,0.043633044891332545,0.8660587914889762,1689
PARP1,JUN,Unknown,TRRUST,,,0.2079022206086896,0.0778120651055843,0.24947752,0.09759687,0.05700155754573169,0.8073408499871605,1690
PARP1,NFKB1,Unknown,TRRUST,,,0.2079022206086896,0.1009257578507906,0.24947752,0.11804789,0.08224447421035508,1.1188721507329042,1691
