tf,target,mode,source_db,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
TCF7,BCL2,Activation,DoRothEA_AB,1.0,A,0.3383829787234368,0.2306382978723602,0.49398032,0.28687465,0.15815041123754367,2.3289412750420033,2930
TCF7,CCND2,Activation,DoRothEA_AB,0.5,B,0.3383829787234368,0.2620709219858391,0.49398032,0.51661223,0.3358916067029488,2.6827165013705203,2931
TCF7,LEF1,Activation,DoRothEA_AB,1.0,A,0.3383829787234368,0.3310070921986132,0.49398032,0.48649016,0.312587048816979,3.4585953822173576,2932
TFAP4,MDM2,Repression,DoRothEA_AB,-1.0,A,0.0650780141843972,0.0588936170212764,0.0720561,0.062978216,-0.01507166170150784,0.39594919905568765,2933
TFDP1,HNRNPUL1,Activation,DoRothEA_AB,0.5,B,0.1552907801418548,0.2350070921986018,0.21526535,0.28454933,0.15635137967884255,2.3781122000010204,2934
TFDP1,PCNA,Activation,DoRothEA_AB,1.0,A,0.1552907801418548,0.0830638297872362,0.21526535,0.10604122,0.01824491546140788,0.6679857449328448,2935
TFDP1,PTMA,Activation,DoRothEA_AB,0.5,B,0.1552907801418548,0.9989219858152256,0.21526535,17.166649,13.217534392540394,10.97599964997234,2936
TFDP1,TP53,Repression,TRRUST,,,0.1552907801418548,0.1293049645390148,0.21526535,0.14933354,0.051738907655766615,1.188431249369202,2937
TFPT,EAF1,Unknown,TRRUST,,,0.0844822695035485,0.0599716312056735,0.09043849,0.06428315,-0.014062072721056963,0.40808228443518335,2938
THAP11,CNIH4,Activation,DoRothEA_AB,0.5,B,0.2417021276595955,0.1706099290780268,0.29016748,0.20119512,0.09186268378296683,1.6533199944362789,2939
THAP11,LSM10,Activation,DoRothEA_AB,0.5,B,0.2417021276595955,0.2691631205674002,0.29016748,0.35944906,0.21429909354540314,2.762539431498796,2940
THAP11,PRPF31,Activation,DoRothEA_AB,0.5,B,0.2417021276595955,0.1916595744681002,0.29016748,0.241141,0.12276763396620465,1.8902344510570004,2941
THAP11,SNX17,Activation,DoRothEA_AB,0.5,B,0.2417021276595955,0.2796595744681107,0.29016748,0.35871154,0.2137284960555208,2.8806773680886435,2942
THAP11,TMEM115,Activation,DoRothEA_AB,0.5,B,0.2417021276595955,0.066212765957447,0.29016748,0.06967306,-0.009892058190343523,0.4783264629480626,2943
TLE3,RUNX1,Repression,TRRUST,,,0.0852765957446833,0.0934468085106417,0.09605551,0.10536023,0.017718053566632166,0.7848465146406404,2944
TNFAIP3,IRF7,Repression,TRRUST,,,0.1717446808510766,0.3300425531915209,0.23155004,0.49369162,0.31815860619777975,3.447739463719913,2945
TNFAIP3,JUN,Repression,TRRUST,,,0.1717446808510766,0.0602553191489359,0.23155004,0.07529028,-0.005546180611271853,0.4112752016403139,2946
TNFAIP3,NFKB1,Repression,TRRUST,,,0.1717446808510766,0.1794042553191626,0.23155004,0.2344443,0.11758659452253514,1.7523004277953407,2947
TNFAIP3,RELA,Repression,TRRUST,,,0.1717446808510766,0.1807092198581698,0.23155004,0.20494032,0.09476023465495319,1.7669878469389426,2948
TNFAIP3,SATB1,Unknown,TRRUST,,,0.1717446808510766,0.5399716312056911,0.23155004,1.4226522,1.0368680312271377,5.810498195516429,2949
TOP2B,RUNX1,Activation,TRRUST,,,0.0966241134751811,0.0934468085106417,0.105587155,0.10536023,0.017718053566632166,0.7848465146406404,2950
TP53,ACTB,Activation,DoRothEA_AB,0.5,B,0.1293049645390148,0.9780992907797826,0.14933354,14.077445,10.827508294082705,10.741639527115954,2951
TP53,ADA,Activation,DoRothEA_AB,1.0,A,0.1293049645390148,0.0730780141843982,0.14933354,0.079828925,-0.0020347647249676503,0.5555950593122336,2952
