run_dir,dataset,condition,edge_set,score_definition,metric,repeat,n_positive,n_negative,random_auprc_baseline,auroc,auprc,enrichment_at_5pct,positive_median,negative_median,median_difference,cliffs_delta
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,0,393,393,0.5,0.5487669068754087,0.5324860330862776,1.1,1.4571717977523804,1.3445541858673096,0.1126176118850708,0.0975338137508174
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,1,393,393,0.5,0.5030592622807528,0.516794020611718,1.1,0.0447146818041801,0.0467875190079212,-0.002072837203741,0.0061185245615056
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,1,393,393,0.5,0.4941631218071984,0.5131819531160814,1.1,0.0442497879266738,0.0463916659355163,-0.0021418780088424,-0.0116737563856029
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,1,393,393,0.5,0.4891193856871847,0.5080096045944746,1.1,0.0008624388137832,0.0010310361394658,-0.0001685973256826,-0.0217612286256304
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,1,393,393,0.5,0.5234705307253527,0.5181714612641155,1.15,0.0192722715437412,0.0173149313777685,0.0019573401659727,0.0469410614507053
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,1,393,393,0.5,0.5440436648990928,0.5314435517989606,1.05,1.4571717977523804,1.37119722366333,0.0859745740890502,0.0880873297981859
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,2,393,393,0.5,0.5082195417257477,0.5176260894583049,1.05,0.0447146818041801,0.0417799949645996,0.0029346868395805,0.0164390834514953
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,2,393,393,0.5,0.4992003832980466,0.5147273140933495,1.1,0.0442497879266738,0.0427768491208553,0.0014729388058185,-0.0015992334039067
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,2,393,393,0.5,0.4956134387402962,0.5111867638946699,1.1,0.0008624388137832,0.0008605724433436,1.866370439529419e-06,-0.0087731225194076
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,2,393,393,0.5,0.5254517672500307,0.5191547587650851,1.1,0.0192722715437412,0.0168130490928888,0.0024592224508523,0.0509035345000614
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,2,393,393,0.5,0.5520527811769581,0.5335750332452723,1.1,1.4571717977523804,1.3445541858673096,0.1126176118850708,0.1041055623539162
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,3,393,393,0.5,0.5151473949329552,0.5355201214068559,1.2,0.0447146818041801,0.0432948097586631,0.0014198720455169,0.0302947898659105
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,3,393,393,0.5,0.5085303239256971,0.5291963042721818,1.2,0.0442497879266738,0.0428240112960338,0.00142577663064,0.0170606478513943
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,3,393,393,0.5,0.5036031311306645,0.5223914785279316,1.2,0.0008624388137832,0.0009150725672952,-5.263375351205468e-05,0.0072062622613289
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,3,393,393,0.5,0.5342928733756774,0.5257388079750608,1.2,0.0192722715437412,0.0176160596311092,0.0016562119126319,0.0685857467513548
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,3,393,393,0.5,0.576442709243828,0.5630808022124646,1.15,1.4571717977523804,1.3094005584716797,0.1477712392807006,0.152885418487656
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,4,393,393,0.5,0.4951084176653783,0.50941500892446,1.0,0.0447146818041801,0.0459782034158706,-0.0012635216116905,-0.0097831646692435
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,4,393,393,0.5,0.483622425525578,0.5053910926888747,1.1,0.0442497879266738,0.0472780130803585,-0.0030282251536846,-0.0327551489488439
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,4,393,393,0.5,0.4804563318635925,0.5012585779668792,1.1,0.0008624388137832,0.0010237630922347,-0.0001613242784515,-0.039087336272815
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,4,393,393,0.5,0.5248366774792973,0.5179453334202164,1.15,0.0192722715437412,0.0177666246891021,0.001505646854639,0.0496733549585948
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,4,393,393,0.5,0.5385272808499892,0.5287989793147441,1.05,1.4571717977523804,1.3590162992477417,0.0981554985046386,0.0770545616999787
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,5,393,393,0.5,0.4912333521097579,0.5082498269894749,1.1,0.0447146818041801,0.046273373067379,-0.0015586912631988,-0.0175332957804841
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,5,393,393,0.5,0.4865586698521842,0.5092588770475946,1.1,0.0442497879266738,0.0456866957247257,-0.0014369077980518,-0.0268826602956315
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,5,393,393,0.5,0.4852119469857364,0.5058818020302893,1.1,0.0008624388137832,0.0010243614669889,-0.0001619226532056,-0.0295761060285272
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,5,393,393,0.5,0.5189739007698334,0.5152674842224243,1.15,0.0192722715437412,0.0176160596311092,0.0016562119126319,0.0379478015396668
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,5,393,393,0.5,0.5278409054121425,0.5238674404552436,1.05,1.4571717977523804,1.3989710807800293,0.058200716972351,0.0556818108242851
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,6,393,393,0.5,0.5031563817182371,0.5181227686045448,1.1,0.0447146818041801,0.0438137874007225,0.0009008944034576,0.0063127634364741
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,6,393,393,0.5,0.4965781584859726,0.5165662580999708,1.1,0.0442497879266738,0.0449296049773693,-0.0006798170506954,-0.0068436830280546
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,6,393,393,0.5,0.4881870390873363,0.5107327469589733,1.1,0.0008624388137832,0.0009960769675672,-0.0001336381537839,-0.0236259218253274
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,6,393,393,0.5,0.528588725080771,0.5216827370821124,1.2,0.0192722715437412,0.0170138012617826,0.0022584702819585,0.057177450161542
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,6,393,393,0.5,0.5567663112095255,0.5391524600109391,1.05,1.4571717977523804,1.3198498487472534,0.1373219490051269,0.1135326224190509
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,7,393,393,0.5,0.494774974263349,0.5080718292444638,1.1,0.0447146818041801,0.0441376753151416,0.0005770064890384,-0.0104500514733019
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,7,393,393,0.5,0.484311973531716,0.5026824622318404,1.1,0.0442497879266738,0.0447372533380985,-0.0004874654114246,-0.031376052936568
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,7,393,393,0.5,0.4816379516863172,0.499645208153384,1.1,0.0008624388137832,0.0010021202033385,-0.0001396813895553,-0.0367240966273656
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,7,393,393,0.5,0.5204857266800045,0.5160273047636834,1.15,0.0192722715437412,0.0182183180004358,0.0010539535433053,0.0409714533600087
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,7,393,393,0.5,0.5370089803106527,0.5225166007697759,1.05,1.4571717977523804,1.346135139465332,0.1110366582870483,0.0740179606213053
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,8,393,393,0.5,0.4953123684840951,0.5058193041074666,0.95,0.0447146818041801,0.0453876592218875,-0.0006729774177074,-0.0093752630318098
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,spearman,8,393,393,0.5,0.4887988915434868,0.5047298578613757,1.1,0.0442497879266738,0.0456392094492912,-0.0013894215226173,-0.0224022169130263
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,mutual_information,8,393,393,0.5,0.4863514817188845,0.5006475725315045,1.1,0.0008624388137832,0.0009881688747555,-0.0001257300609722,-0.0272970365622309
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,coexpression_probability,8,393,393,0.5,0.5233669366587028,0.5153885912377825,1.1,0.0192722715437412,0.018017565831542,0.0012547057121992,0.0467338733174056
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,codetection_odds_ratio,8,393,393,0.5,0.5360895829691356,0.5253718869668837,1.1,1.4571717977523804,1.3790496587753296,0.0781221389770507,0.0721791659382709
adult_celltype__smooth_muscle_cell,ZJU_HCL_adult_celltype,Smooth muscle cell,trrust,formal_abs,pearson,9,393,393,0.5,0.4920880031596191,0.5071264120339652,1.0,0.0447146818041801,0.0453795976936817,-0.0006649158895015,-0.0158239936807619
