run_dir,dataset,condition,edge_set,repeat,positive_edges,negative_edges,internal_duplicate_tf_target,failed_matches,relaxed_fraction,positive_negative_overlap_unique,negative_overlap_with_known_union_unique,smd_target_mean_counts,smd_target_detection_rate
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,2,1073,1073,0,0,0.0,0,0,0.0034135384707726,-0.0040526331409695
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,3,1073,1073,0,0,0.0,0,0,0.002467929932762,-0.0044167394018653
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,4,1073,1073,0,0,0.0,0,0,0.0024613067724023,-0.0045613958969994
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,5,1073,1073,0,0,0.0,0,0,0.0030552768210481,-0.0050685741695732
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,6,1073,1073,0,0,0.0,0,0,0.0028450139467075,-0.0040912690521414
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,7,1073,1073,0,0,0.0,0,0,0.0045522977897165,-0.0057295713419644
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,8,1073,1073,0,0,0.0,0,0,0.0034487417284725,-0.0037949579765824
adult_celltype__endothelial_cell,ZJU_HCL_adult_celltype,Endothelial cell,trrust_dorothea_union,9,1073,1073,0,0,0.0,0,0,0.0034406595715386,-0.0045874368910837
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,0,154,154,0,0,0.0,0,0,0.0081270614314291,-0.0020680957746191
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,1,154,154,0,0,0.0,0,0,0.0108268509635417,-0.0021536518449891
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,2,154,154,0,0,0.0,0,0,0.0061959332581359,-0.0016836930534935
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,3,154,154,0,0,0.0,0,0,0.0078373255223874,-0.0039139876672971
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,4,154,154,0,0,0.0,0,0,0.0098213644071357,-0.0001230923765757
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,5,154,154,0,0,0.0,0,0,0.0109222938381159,-0.0032193644002836
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,6,154,154,0,0,0.0,0,0,0.0068862719454163,0.0001767349373082
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,7,154,154,0,0,0.0,0,0,0.0067437895812686,-0.0018393753255287
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,8,154,154,0,0,0.0,0,0,0.0094410814054996,-0.0032640682290057
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust,9,154,154,0,0,0.0,0,0,0.008236717172401,-0.0013392321167937
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,0,168,168,0,0,0.0,0,0,0.0019930857348769,-0.000288628295707
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,1,168,168,0,0,0.0,0,0,0.0028149582515352,0.0010648322775938
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,2,168,168,0,0,0.0,0,0,0.0016114632327589,0.0004511868951188
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,3,168,168,0,0,0.0,0,0,0.0034210983029156,2.112964973288518e-05
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,4,168,168,0,0,0.0,0,0,0.0060205860900884,0.0002323137276465
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,5,168,168,0,0,0.0,0,0,0.004231299881709,-0.0006971082618923
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,6,168,168,0,0,0.0,0,0,0.0045245295908008,-0.0003097995710838
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,7,168,168,0,0,0.0,0,0,0.0023715328354237,0.0010861043812631
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,8,168,168,0,0,0.0,0,0,0.002521832133217,0.0001056560649587
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,dorothea_ab,9,168,168,0,0,0.0,0,0,0.0040799442069433,-0.0020350241616342
adult_celltype__enterocyte,ZJU_HCL_adult_celltype,Enterocyte,trrust_dorothea_intersection,0,57,57,0,0,0.0,0,0,0.0091699590692228,-0.0042292995537135
