result_source,dataset,condition,edge_set,score_definition,metric,n_repeats,n_positive_mean,n_negative_mean,random_auprc_baseline,auroc_mean,auroc_sd,auprc_mean,auprc_sd,enrichment_at_5pct_mean,enrichment_at_5pct_sd,median_difference_mean,median_difference_sd,cliffs_delta_mean,cliffs_delta_sd,positive_median_mean,negative_median_mean,auroc_ci95_low,auroc_ci95_high,auprc_ci95_low,auprc_ci95_high,enrichment_at_5pct_ci95_low,enrichment_at_5pct_ci95_high,median_difference_ci95_low,median_difference_ci95_high,cliffs_delta_ci95_low,cliffs_delta_ci95_high,dataset_role,analysis_group,run_dir,context_level,context_label
local_refined,PBMC10k,all,trrust_dorothea_intersection,formal_abs,codetection_odds_ratio,10,1079.0,1079.0,0.5,0.5185263188635343,0.0067076057688074,0.5259474056130049,0.0051176217115565,1.1685185185185183,0.0308024072836411,0.030449962615967,0.0214725117367652,0.0370526377270685,0.0134152115376148,1.75690507888794,1.7264551162719726,0.5137279867544106,0.523324650972658,0.5222864795795902,0.5296083316464196,1.146483803748202,1.1905532332888351,0.0150894530569243,0.0458104721750097,0.027455973508821,0.0466493019453159,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust_dorothea_intersection,formal_abs,coexpression_probability,10,1079.0,1079.0,0.5,0.5030362270354678,0.0019773556252794,0.5032596027899938,0.0009999732439732,1.0203703703703704,0.0058560697410524,-0.0010253421962261,0.0008101723536953,0.0060724540709354,0.0039547112505588,0.0799433141946792,0.0809686563909053,0.5016217120334,0.5044507420375356,0.5025442650241497,0.5039749405558379,1.0161811904393685,1.0245595503013722,-0.0016049045844539,-0.0004457798079982,0.0032434240667998,0.008901484075071,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust_dorothea_intersection,formal_abs,mutual_information,10,1079.0,1079.0,0.5,0.5107615175895712,0.00316794138203,0.5083673778773072,0.0026236727959147,1.0351851851851852,0.0268358828633137,7.178639999999882e-05,0.0002292169536803,0.0215230351791424,0.00633588276406,0.0167398,0.0166680136,0.5084953088442831,0.5130277263348594,0.5064905154237898,0.5102442403308247,1.0159879510515797,1.054382419318791,-9.218553077663374e-05,0.0002357583307766,0.0169906176885662,0.0260554526697186,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust_dorothea_intersection,formal_abs,pearson,10,1079.0,1079.0,0.5,0.5261674344057631,0.0053628756901377,0.5206166335287981,0.0030068997370442,1.0574074074074074,0.0058560697410525,0.0074031811207532,0.0018054622750167,0.0523348688115261,0.0107257513802753,0.0568497627973556,0.0494465816766023,0.5223310642450579,0.5300038045664682,0.5184656270363964,0.5227676400211997,1.0532182274764057,1.0615965873384092,0.0061116312138832,0.0086947310276233,0.0446621284901158,0.0600076091329364,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust_dorothea_intersection,formal_abs,spearman,10,1079.0,1079.0,0.5,0.5196289256262234,0.0049409373986271,0.5174371275081799,0.0034007332210925,1.0703703703703704,0.0312323719522802,0.0042954146862029,0.001553236395432,0.0392578512524469,0.0098818747972542,0.074044220149517,0.069748805463314,0.5160943919362362,0.5231634593162107,0.5150043895131691,0.5198698655031908,1.0480280774050272,1.0927126633357136,0.0031842963041537,0.0054065330682522,0.0321887838724723,0.0463269186324214,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust_dorothea_union,formal_abs,codetection_odds_ratio,10,6855.0,6855.0,0.5,0.5163218199645571,0.0020356380429998,0.5185968882190705,0.0016868825682774,1.0807580174927114,0.0091216326765849,0.0314643383026123,0.0059888890747579,0.032643639929114,0.0040712760859995,1.605852484703064,1.5743881464004517,0.5148656122324773,0.5177780276966368,0.5173901651243222,0.5198036113138187,1.0742327945639538,1.087283240421469,0.0271801451440002,0.0357485314612243,0.0297312244649547,0.0355560553932733,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust_dorothea_union,formal_abs,coexpression_probability,10,6855.0,6855.0,0.5,0.5038368475682324,0.0004495639075266,0.5027015046232165,0.0002437590549228,1.02332361516035,0.0043460990816322,0.0007335774600505,0.0003187632604055,0.0076736951364648,0.000899127815053,0.0761087015271186,0.075375124067068,0.5035152489223162,0.5041584462141486,0.502527129899889,0.502875879346544,1.02021460316835,1.0264326271523498,0.0005055479603554,0.0009616069597456,0.0070304978446326,0.0083168924282971,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust_dorothea_union,formal_abs,mutual_information,10,6855.0,6855.0,0.5,0.5076652222419068,0.0008507742724072,0.5068270043684419,0.0010167645607987,1.0198250728862974,0.0186325534868134,0.0004414787999999,0.0001041443756331,0.0153304444838136,0.0017015485448145,0.015693314,0.0152518352,0.5070566149907335,0.5082738294930801,0.5060996548181467,0.507554353918737,1.0064961470739748,1.03315399869862,0.0003669784016747,0.0005159791983252,0.014113229981467,0.0165476589861603,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust_dorothea_union,formal_abs,pearson,10,6855.0,6855.0,0.5,0.5201673245050518,0.0010839237715683,0.5164433090444824,0.0007570569618481,1.030612244897959,0.0159241687154265,0.0050565905869006,0.0003511985720782,0.0403346490101034,0.0021678475431368,0.0459042936563491,0.0408477030694484,0.5193919321495342,0.5209427168605694,0.5159017431186249,0.51698487497034,1.019220780835825,1.042003708960093,0.0048053582630037,0.0053078229107975,0.0387838642990682,0.0418854337211387,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
local_refined,PBMC10k,all,trrust_dorothea_union,formal_abs,spearman,10,6855.0,6855.0,0.5,0.5177456897354336,0.0012927494514453,0.5153900478715883,0.0008505687160647,1.0201166180758017,0.0130708523448745,0.0037948627024888,0.0003359374421853,0.035491379470867,0.0025854989028907,0.0633564591407775,0.0595615964382886,0.5168209124876757,0.5186704669831914,0.5147815876665641,0.5159985080766124,1.0107662935842092,1.029466942567394,0.0035545475332535,0.0040351778717242,0.0336418249753513,0.0373409339663827,original resting PBMC validation,Original dataset contexts,,Tissue contexts,PBMC10k
