result_source,dataset,condition,edge_set,metric,top_level,repeats,mean_actual_top_n,mean_curated_positive_fraction,sd_curated_positive_fraction,mean_delta_vs_0_5,repeats_above_0_5,trrust_union_known_fraction_mean,analysis_group,source_group,ci95_curated_positive_fraction,min_curated_positive_fraction,max_curated_positive_fraction,complete_threshold_repeats,mean_total_pairs_ranked,mean_positive_pairs_in_evaluation,mean_negative_pairs_in_evaluation,all_repeats_above_0_5,context_level,context_label,fixed_top100_valid,strict_top500_valid
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,mutual_information,top_100,10,100.0,0.571,0.0196920739836558,0.071,10.0,0.571,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,mutual_information,top_500,10,500.0,0.5194,0.0081130895608407,0.0194,10.0,0.5194,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,mutual_information,top_5pct,10,507.0,0.5195266272189349,0.0085823373423172,0.0195266272189349,10.0,0.5195266272189349,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,pearson,top_100,10,100.0,0.5780000000000001,0.0239443799947572,0.0779999999999999,10.0,0.5780000000000001,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,pearson,top_500,10,500.0,0.5176000000000001,0.006239658110292,0.0176,10.0,0.5176000000000001,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,pearson,top_5pct,10,507.0,0.5165680473372781,0.0054573322733588,0.0165680473372781,10.0,0.5165680473372781,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,spearman,top_100,10,100.0,0.561,0.0341402336775182,0.061,10.0,0.561,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,spearman,top_500,10,500.0,0.5164,0.0067197883564555,0.0164,10.0,0.5164,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,dorothea_ab,spearman,top_5pct,10,507.0,0.5145956607495069,0.0079685937021042,0.0145956607495069,10.0,0.5145956607495069,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
server_nygc,NYGC_multimodal_PBMC,all,trrust,codetection_odds_ratio,top_100,10,100.0,0.618,0.0257336787541584,0.118,10.0,0.618,Original dataset contexts,,,,,,,,,,Tissue contexts,"NYGC
PBMC",True,True
