context_group,pathway,top_level,combinations,combinations_fdr_in_at_least_5_repeats,median_fold_enrichment,best_bh_fdr,support_fraction,context_level
Adult tissues,Cholesterol Homeostasis,top_5pct,80,0,2.8790945165945168,0.0689385691667549,0.0,Adult tissues
Adult tissues,Coagulation,top_100,80,0,0.0,0.1017148172697652,0.0,Adult tissues
Adult tissues,Coagulation,top_500,80,0,0.8296296296296296,0.0289958612806186,0.0,Adult tissues
Adult tissues,Coagulation,top_5pct,80,0,0.0,0.099529245293899,0.0,Adult tissues
Adult tissues,Complement,top_100,80,4,1.738095238095238,0.0039780634707791,0.05,Adult tissues
Adult tissues,Complement,top_500,80,27,1.5092592592592593,4.8476959686085525e-05,0.3375,Adult tissues
Adult tissues,Complement,top_5pct,80,0,2.1894526455329526,0.0303235880077359,0.0,Adult tissues
Adult tissues,Dna Repair,top_100,80,0,0.0,0.4107142857142857,0.0,Adult tissues
Adult tissues,Dna Repair,top_500,80,0,0.6665028253404015,0.3108921729611384,0.0,Adult tissues
Adult tissues,Dna Repair,top_5pct,80,0,0.0,1.0,0.0,Adult tissues
Adult tissues,E2F Targets,top_100,80,0,1.206756198842303,0.1488902127027974,0.0,Adult tissues
Adult tissues,E2F Targets,top_500,80,6,1.6180555555555554,0.0009129270654679,0.075,Adult tissues
Adult tissues,E2F Targets,top_5pct,80,0,0.0,0.1862417765862457,0.0,Adult tissues
Adult tissues,Epithelial Mesenchymal Transition,top_100,80,9,1.9211908336908334,0.0019153990052444,0.1125,Adult tissues
Adult tissues,Epithelial Mesenchymal Transition,top_500,80,6,1.4421768707482994,0.0019560707589263,0.075,Adult tissues
Adult tissues,Epithelial Mesenchymal Transition,top_5pct,80,6,3.1296064814814812,0.0049915508009459,0.075,Adult tissues
Adult tissues,Estrogen Response Early,top_100,80,0,1.450874861572536,0.1407906836696228,0.0,Adult tissues
Adult tissues,Estrogen Response Early,top_500,80,0,1.2462804768196012,0.0394873039002852,0.0,Adult tissues
Adult tissues,Estrogen Response Early,top_5pct,80,0,1.6091525915363998,0.1125087623939707,0.0,Adult tissues
Adult tissues,Estrogen Response Late,top_100,80,0,0.7611904843480545,0.2470980019029495,0.0,Adult tissues
Adult tissues,Estrogen Response Late,top_500,80,0,1.205454760835952,0.0169881793194419,0.0,Adult tissues
Adult tissues,Estrogen Response Late,top_5pct,80,0,0.85581188306153,0.2470980019029495,0.0,Adult tissues
Adult tissues,Fatty Acid Metabolism,top_100,80,0,1.4159024286108512,0.0236199319098916,0.0,Adult tissues
Adult tissues,Fatty Acid Metabolism,top_500,80,1,1.3384979441182807,0.0148518417208194,0.0125,Adult tissues
Adult tissues,Fatty Acid Metabolism,top_5pct,80,0,0.0,0.054045219738454,0.0,Adult tissues
Adult tissues,G2M Checkpoint,top_100,80,0,1.6051755837470123,0.0766866925224287,0.0,Adult tissues
Adult tissues,G2M Checkpoint,top_500,80,20,1.849462365591397,0.0001473345077833,0.25,Adult tissues
Adult tissues,G2M Checkpoint,top_5pct,80,0,0.0,0.1710603415368633,0.0,Adult tissues
Adult tissues,Glycolysis,top_100,80,16,1.3457633417000774,6.62698120156489e-07,0.2,Adult tissues
Adult tissues,Glycolysis,top_500,80,41,1.7125,1.9977673292336715e-06,0.5125,Adult tissues
Adult tissues,Glycolysis,top_5pct,80,9,0.0,2.590568086289651e-06,0.1125,Adult tissues
Adult tissues,Hedgehog Signaling,top_100,80,0,0.9393274853801168,0.017045768996624,0.0,Adult tissues
Adult tissues,Hedgehog Signaling,top_500,80,4,2.158163265306122,0.0216344811615737,0.05,Adult tissues
Adult tissues,Hedgehog Signaling,top_5pct,80,0,0.0,0.2176656151419558,0.0,Adult tissues
Adult tissues,Heme Metabolism,top_100,80,0,1.3324006525687198,0.0674784295538157,0.0,Adult tissues
Adult tissues,Heme Metabolism,top_500,80,1,1.1516513357552771,0.0326977865139263,0.0125,Adult tissues
Adult tissues,Heme Metabolism,top_5pct,80,0,0.0,0.1916882510718987,0.0,Adult tissues
Adult tissues,Hypoxia,top_100,80,38,2.3227467765199967,3.0817164263409736e-10,0.475,Adult tissues
Adult tissues,Hypoxia,top_500,80,69,1.863636363636364,5.189695425447528e-11,0.8625,Adult tissues
Adult tissues,Hypoxia,top_5pct,80,27,3.402572278911564,3.0817164263409736e-10,0.3375,Adult tissues
Adult tissues,Il2 Stat5 Signaling,top_100,80,4,1.5227560975609755,0.0088274596393906,0.05,Adult tissues
Adult tissues,Il2 Stat5 Signaling,top_500,80,33,1.678741154925893,0.0004793446208473,0.4125,Adult tissues
Adult tissues,Il2 Stat5 Signaling,top_5pct,80,3,1.3815410947631743,0.0103880627053459,0.0375,Adult tissues
Adult tissues,Il6 Jak Stat3 Signaling,top_100,80,5,2.022288763066202,0.0050580258451287,0.0625,Adult tissues
Adult tissues,Il6 Jak Stat3 Signaling,top_500,80,43,2.0432098765432096,3.726152489591275e-05,0.5375,Adult tissues
